"","Date","Time","Type","No.","1:PAR","1:Fo","1:Fm","1:Fv/Fm","sample_id","temp","colony","leachate","species","note"
"42",2024-07-14,21:38:03,"FO",51,0,865,2492,0.653,"A10.2H","ambient",10,"high","Montipora capitata x Symbiodinium spp.",NA
"43",2024-07-14,21:39:03,"FO",52,0,1026,2856,0.641,"A3.2H","ambient",3,"high","Montipora capitata x Symbiodinium spp.",NA
"44",2024-07-14,21:40:50,"FO",53,0,718,2065,0.652,"A9.2H","ambient",9,"high","Montipora capitata x Symbiodinium spp.",NA
"45",2024-07-14,21:41:53,"FO",54,0,624,1777,0.649,"A6.2H","ambient",6,"high","Montipora capitata x Symbiodinium spp.",NA
"46",2024-07-14,21:58:20,"FO",55,0,834,2316,0.64,"H10.2C","hot",10,"control","Montipora capitata x Symbiodinium spp.",NA
"47",2024-07-14,21:59:20,"FO",56,0,694,2162,0.679,"H8.2C","hot",8,"control","Montipora capitata x Symbiodinium spp.",NA
"48",2024-07-14,22:01:24,"FO",57,0,366,1088,0.664,"H1.2C","hot",1,"control","Montipora capitata x Symbiodinium spp.",NA
"49",2024-07-14,22:02:32,"FO",58,0,773,2325,0.668,"H3.2C","hot",3,"control","Montipora capitata x Symbiodinium spp.",NA
"50",2024-07-14,22:03:32,"FO",59,0,379,1123,0.663,"H2.2C","hot",2,"control","Montipora capitata x Symbiodinium spp.",NA
"51",2024-07-14,22:09:54,"FO",61,0,773,2115,0.635,"A10.2L","ambient",10,"low","Montipora capitata x Symbiodinium spp.",NA
"52",2024-07-14,22:11:05,"FO",62,0,253,675,0.625,"A9.2L","ambient",9,"low","Montipora capitata x Symbiodinium spp.",NA
"53",2024-07-14,22:12:24,"FO",63,0,936,2537,0.631,"A3.2L","ambient",3,"low","Montipora capitata x Symbiodinium spp.",NA
"54",2024-07-14,22:14:25,"FO",65,0,436,1269,0.656,"A6.2L","ambient",6,"low","Montipora capitata x Symbiodinium spp.",NA
"55",2024-07-14,22:15:21,"FO",66,0,447,1224,0.635,"A4.2L","ambient",4,"low","Montipora capitata x Symbiodinium spp.",NA
"56",2024-07-14,22:20:19,"FO",67,0,554,1587,0.651,"H5.2L","hot",5,"low","Montipora capitata x Symbiodinium spp.",NA
"57",2024-07-14,22:21:10,"FO",68,0,677,1951,0.653,"H2.2L","hot",2,"low","Montipora capitata x Symbiodinium spp.",NA
"58",2024-07-14,22:22:02,"FO",69,0,658,1985,0.669,"H8.2L","hot",8,"low","Montipora capitata x Symbiodinium spp.",NA
"59",2024-07-14,22:23:24,"FO",71,0,570,1536,0.629,"H3.2L","hot",3,"low","Montipora capitata x Symbiodinium spp.",NA
"60",2024-07-14,22:24:17,"FO",72,0,759,2133,0.644,"H9.2L","hot",9,"low","Montipora capitata x Symbiodinium spp.",NA
